Image Path,Identity,Target_X,Target_Y,Target_W,Target_H,Source_X,Source_Y,Source_W,Source_H,VGG-Face_cosine,Notes,Image Path Image,Identity Image,Match
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Rubens_Barrichello_0005.jpg,72.0,71.0,110.0,110.0,77.0,113.0,96.0,96.0,0.6706292588446305,,Abid_Hamid_Mahmud_Al-Tikriti,Rubens_Barrichello,False
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Erik_Morales_0001.jpg,69.0,67.0,113.0,113.0,69.0,69.0,114.0,114.0,0.610136228652636,,Abid_Hamid_Mahmud_Al-Tikriti,Erik_Morales,False
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Harbhajan_Singh_0001.jpg,67.0,67.0,115.0,115.0,69.0,69.0,114.0,114.0,0.6193319418783431,,Abid_Hamid_Mahmud_Al-Tikriti,Harbhajan_Singh,False
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0003.jpg,69.0,67.0,113.0,113.0,0.0,0.0,250.0,250.0,0.6082089258720945,,Abid_Hamid_Mahmud_Al-Tikriti,Abid_Hamid_Mahmud_Al-Tikriti,True
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Marlene_Weingartner_0001.jpg,0.0,0.0,250.0,250.0,0.0,0.0,250.0,250.0,0.6687611350716418,,Abid_Hamid_Mahmud_Al-Tikriti,Marlene_Weingartner,False
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0003.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Abid_Hamid_Mahmud_Al-Tikriti_0002.jpg,0.0,0.0,250.0,250.0,69.0,67.0,113.0,113.0,0.6082089258720945,,Abid_Hamid_Mahmud_Al-Tikriti,Abid_Hamid_Mahmud_Al-Tikriti,True
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0003.jpg,68.0,67.0,115.0,115.0,70.0,69.0,112.0,112.0,0.58941709678518,,Adam_Sandler,Adam_Sandler,True
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0002.jpg,66.0,65.0,118.0,118.0,70.0,69.0,112.0,112.0,0.5897768139954579,,Adam_Sandler,Adam_Sandler,True
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Monica_Bellucci_0001.jpg,68.0,68.0,117.0,117.0,70.0,69.0,112.0,112.0,0.6464558844481572,,Adam_Sandler,Monica_Bellucci,False
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0001.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Alvaro_Uribe_0019.jpg,69.0,69.0,114.0,114.0,70.0,69.0,112.0,112.0,0.6712973107789268,,Adam_Sandler,Alvaro_Uribe,False
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0003.jpg,68.0,67.0,115.0,115.0,66.0,65.0,118.0,118.0,0.4733054235928469,,Adam_Sandler,Adam_Sandler,True
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0001.jpg,70.0,69.0,112.0,112.0,66.0,65.0,118.0,118.0,0.5897768139954579,,Adam_Sandler,Adam_Sandler,True
C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Adam_Sandler_0002.jpg,C:\INDRES\DTU\Semester 3\Special course\Datasets\lfw_all_subset_photos\Jeffrey_Scott_Postell_0002.jpg,68.0,68.0,114.0,114.0,66.0,65.0,118.0,118.0,0.6683531888889191,,Adam_Sandler,Jeffrey_Scott_Postell,False
